spe_b,-0.0471,b
spe_area,1.86099,Module area
spe_reference,4,Reference Radiation and Efficiency
spe_bifacial_ground_clearance_height,1,Ground clearance height
spe_aspect_ratio,1.68156,Module aspect ratio
spe_module_structure,4,Module structure and mounting
spe_a,-2.98,a
spe_eff3,19,Efficiency 3
spe_bifaciality,0.7,Bifaciality
spe_dT,1,dT
spe_temp_coeff,-0.35,Temperature coefficient (Pmp)
spe_vmp,34.5,Maximum power voltage (Vmp)
spe_rad4,1000,Radiation level 4
spe_eff4,20.2,Efficiency 4
spe_bifacial_transmission_factor,0.013,Transmission fraction
spe_eff0,19,Efficiency 0
spe_eff1,19,Efficiency 1
spe_eff2,19,Efficiency 2
spe_fd,1,Diffuse utilization factor
spe_is_bifacial,0,Use Bifacial Modules
spe_rad0,200,Radiation level 0
spe_rad1,400,Radiation level 1
spe_rad2,600,Radiation level 2
spe_rad3,800,Radiation level 3
spe_transient_thermal_model_unit_mass,11.0919,Module unit mass
spe_voc,41.45,Open circuit voltage (Voc)
