100,100,100,100,100,100,100,100,100,75,0,25,0,0,0,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,50,80,100,100,100,100,100,100,100
100,100,100,100,100,100,100,80,0,0,0,0,0,0,25,25,50,100,100,100,100,100,100,100
100,100,100,100,100,100,100,25,0,0,0,0,0,25,50,50,25,60,100,100,100,100,100,100
100,100,100,100,100,100,100,60,0,0,0,0,0,50,50,75,50,80,100,100,100,100,100,100
100,100,100,100,100,100,100,80,0,0,0,0,0,50,75,75,50,90,100,100,100,100,100,100
100,100,100,100,100,100,100,70,0,0,0,0,0,50,75,75,50,90,100,100,100,100,100,100
100,100,100,100,100,100,100,40,0,0,0,0,0,25,50,50,50,100,100,100,100,100,100,100
100,100,100,100,100,100,100,40,0,0,0,0,0,0,25,25,40,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,25,50,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,50,0,25,0,0,0,80,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,25,25,0,0,25,100,100,100,100,100,100,100,100,100
