100,100,100,100,100,100,100,2.97417,3.1225,7.17556,9.87767,11.3114,10.1087,7.56998,5.44807,10.2431,99.8411,100,100,100,100,100,100,100
100,100,100,100,100,100,0.168153,1.68404,2.21506,4.8852,7.04603,8.05583,7.43228,5.56201,3.80406,6.21168,3.82461,100,100,100,100,100,100,100
100,100,100,100,100,100,1.28776,0.63117,1.16428,2.76273,3.94263,4.63779,4.08991,2.98048,1.98584,3.0153,3.1027,100,100,100,100,100,100,100
100,100,100,100,100,0,0,0,0,0.250203,0.683037,0.947213,0.672127,0.248638,0,0,3.01813,88.3595,100,100,100,100,100,100
100,100,100,100,100,1.16045,0,0,0,0,0,0,0,0,0,0,1.8751,71.0595,100,100,100,100,100,100
100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.858266,76.1245,100,100,100,100,100,100
100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.711493,61.2301,100,100,100,100,100,100
100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,1.77609,45.2155,100,100,100,100,100,100
100,100,100,100,100,0,0.0852185,0.319303,0.7886,1.85127,2.70151,3.10035,2.47524,1.66239,1.06385,1.49283,6.20303,99.6984,100,100,100,100,100,100
100,100,100,100,100,100,3.80013,1.33261,2.68973,4.89391,6.21476,6.89346,5.40117,3.74181,3.00021,7.24573,77.0982,100,100,100,100,100,100,100
100,100,100,100,100,100,6.89988,2.07016,4.23943,7.6304,9.60008,10.4343,8.21258,5.78345,5.01938,12.3602,99.7457,100,100,100,100,100,100,100
100,100,100,100,100,100,100,2.62598,3.66464,8.61597,11.0799,12.6056,10.2622,7.47577,5.80434,16.0053,99.9148,100,100,100,100,100,100,100
